Französisch,Deutsch
durable/permanent,dauernd
dehors,draußen
meublé,möbliert
inconnu,unbekannt
avant/autrefois,früher
volontiers/avec plaisir,gern geschehen! = Gerne!
super/génial,klasse!
curieux (de),neugierig (auf Weimar)
bon marché,preisgünstig
absolument,unbedingt
professionnel,beruflich
urgent,dringend
flexible,flexibel
poli,höflich
à temps partiel,in Teilzeit (arbeiten)
à temps partiel,teilzeitig (arbeiten)
à temps plein,in Vollzeit (arbeiten)
à temps plein,vollzeitig (arbeiten)
doux/moelleux,weich
anxieux/inquiet,ängstlich
énervant/agaçant,ärgerlich
dégoûtant,eklig
détendu,entspannt
tendu/stressé,angespannt
nerveux,nervös
surpris,überrascht
calme,ruhig
triste,traurig
furieux,wütend
heureux/content,glücklich/froh