Französisch,Infinitiv,Präsens,Präteritum,Perfekt
aller chercher,abholen,holt ab,holte ab,hat abgeholt
visiter/examiner,besichtigen,besichtigt,besichtigte,hat besichtigt
faire l'expérience/vivre,erleben,erlebt,erlebte,hat erlebt
griller/faire un barbecue,grillen,grillt,grillte,hat gegrillt
valoir la peine,lohnen,lohnt sich,lohnte sich,hat sich gelohnt
louer,mieten,mietet,mietete,hat gemietet
déménager,umziehen,zieht um,zog um,ist umgezogen
postuler,bewerben,bewirbt sich,bewarb sich,hat sich beworben
laisser,hinterlassen,hinterlässt,hinterließ,hat hinterlassen
apprendre,lernen,lernt,lernte,hat gelernt
traduire,übersetzen,übersetzt,übersetzte,hat übersetzt
mettre en relation,verbinden,verbindet,verband,hat verbunden
rappeler,zurückrufen,ruft zurück,rief zurück,hat zurückgerufen
devenir,werden,wird,wurde,ist geworden
trinquer,anstoßen,stößt an,stieß an,hat angestoßen
fêter/célébrer,feiern,feiert,feierte,hat gefeiert
se déguiser,verkleiden,verkleidet sich,verkleidete sich,hat sich verkleidet
chasser/repousser,vertreiben,vertreibt,vertrieb,hat vertrieben
exprimer,ausdrücken,drückt aus,drückte aus,hat ausgedrückt
s'effrayer,erschrecken,erschrickt,erschrak,ist erschrocken
inventer,erfinden,erfindet,erfand,hat erfunden